customer_id	review_id	product_id	product_title	product_category
11720	R1BK5TO4W47WOU	B00NLVKPDM	Sweet Home 3D [Download]	Digital_Software
11720	R2VGCVX93QGX26	B00OSCLQ1S	DreamPlan Home Design Software for Mac - Home Planning and Landscape Design [Download]	Digital_Software
13775	RU6HPKLOMOK25	B00B1TEIRU	Microsoft Office 365 Personal 1yr Subscription	Digital_Software
13775	RL1NEE0BKX8FW	B00H9A60O4	Avast Free Antivirus 2015 [Download]	Digital_Software
129625	ROBOOZXO52S9H	B00H9A60O4	Avast Free Antivirus 2015 [Download]	Digital_Software
129625	R2BT71OH5WHUC0	B00PT6GQY4	LibreOffice v4.3	Digital_Software
222689	R248PEWVDNO5HJ	B00KQV8RNK	Driver Booster FREE [Download]	Digital_Software
222689	R1I2NFL53EZ274	B00OSE2638	DrawPad Graphic Design Editor for Creating, Painting and Editing Vector Images [Download]	Digital_Software
222689	REG0JPLS1BDHS	B00P31G9PQ	Amazon Drive Desktop [PC]	Digital_Software
222689	R1ILHBBE5VYD8K	B00U7LCE6A	CCleaner Free [Download]	Digital_Software
300501	R2W8VGMNGVO7QL	B008XAXAC4	Apache OpenOffice 3.4.1	Digital_Software
300501	R3UCQSI6820HAI	B00H9A60O4	Avast Free Antivirus 2015 [Download]	Digital_Software
305338	R1S0AC1TMN7LBV	B00H9A60O4	Avast Free Antivirus 2015 [Download]	Digital_Software
305338	R1P5K9MSOV2W5I	B00N9HI86Y	McAfee 2015 Antivirus Plus 1 PC	Digital_Software
333712	R2YO95AS5Y4YZA	B0064PFB9U	Office Mac Home and Student 2011 - 1PC/1User [Download]	Digital_Software
333712	RGQOJT454FPV8	B00MHZ6Z64	Norton Security	Digital_Software
345274	R11U9TG5XXDT88	B00H9A60O4	Avast Free Antivirus 2015 [Download]	Digital_Software
345274	R30W2GV0UCDBRG	B00M9GTEPA	Intuit Quicken Home & Business 2015	Digital_Software
345274	R1C3DW7FW8E2DC	B00N9MCPNG	McAfee 2015 Total Protection 1 PC	Digital_Software
407576	RKY7JY0CTMYNH	B00JPRUDFQ	WordPerfect Office X7 Home and Student	Digital_Software
407576	R3Q1DDINHW4XPR	B00N9MUV96	McAfee 2015 Total Protection 3 PC (3-Users)	Digital_Software
459753	R24UO548WYWHB7	B00M9GTHS4	Quicken Deluxe Personal Finance & Budgeting Software 2015	Digital_Software
459753	R3P1O7750BWE6B	B00NG7JVSQ	TurboTax Deluxe Fed + Efile + State	Digital_Software
557055	RICGZMO5G9L24	B00OSCLQ1S	DreamPlan Home Design Software for Mac - Home Planning and Landscape Design [Download]	Digital_Software
557055	RUHZ64YXN8S97	B00OSDY8PI	Free Diagram & Flowchart Software for Drawing, Creation & Visualization [Download]	Digital_Software
557055	R2BA2TP1ELMJR9	B00OSE2638	DrawPad Graphic Design Editor for Creating, Painting and Editing Vector Images [Download]	Digital_Software
